country,ticker,last_close,sma50,sma200,above_both
USA,^GSPC,7637.76,7615.1,7178.86,True
Eurozona,^STOXX50E,6266.5,6377.54,6042.27,False
Reino_Unido,^FTSE,10688.5,10739.39,10397.66,False
Alemania,^GDAXI,25537.75,25749.26,24752.89,False
Francia,^FCHI,8140.59,8417.14,8240.65,False
Espana,^IBEX,,,,False
Suiza,^SSMI,13868.66,14312.04,13567.47,False
Japon,^N225,63923.0,65775.2,59561.27,False
China_onshore,000001.SS,,,,False
China_HK,^HSI,24713.78,25280.77,25613.03,False
India,^BSESN,74336.45,77096.33,79006.84,False
Brasil,^BVSP,185992.03,176444.58,176568.04,True
Mexico,^MXX,63873.32,65680.43,67189.2,False
Canada,^GSPTSE,35874.26,35937.23,33984.26,False
Australia,^AXJO,8696.5,8979.35,8820.03,False
Corea_Sur,^KS11,6717.97,6724.44,6176.88,False
Taiwan,^TWII,45848.9,44971.78,38004.34,True
Indonesia,^JKSE,6436.85,6342.18,7298.46,False
Singapur,^STI,5635.41,5648.91,5092.83,False
Turquia,XU100.IS,13122.6,14068.37,13476.94,False
Argentina,^MERV,3061511.75,3119937.38,3007498.34,False
