country,ticker,last_close,sma50,sma200,above_both
USA,^GSPC,7718.6,7591.71,7141.76,True
Eurozona,^STOXX50E,6382.59,6375.16,6009.58,True
Reino_Unido,^FTSE,10831.5,10713.56,10347.36,True
Alemania,^GDAXI,26003.32,25667.81,24651.9,True
Francia,^FCHI,8286.4,8455.95,8234.32,False
Espana,^IBEX,,,,False
Suiza,^SSMI,14394.77,14366.24,13507.36,True
Japon,^N225,64214.48,66717.35,58910.52,False
China_onshore,000001.SS,,,,False
China_HK,^HSI,25213.31,24953.96,25666.78,False
India,^BSESN,76152.86,77455.28,79399.86,False
Brasil,^BVSP,185147.16,174186.16,175363.7,True
Mexico,^MXX,64866.61,66130.44,67122.53,False
Canada,^GSPTSE,36513.8,35823.75,33782.99,True
Australia,^AXJO,9020.1,8970.34,8806.8,True
Corea_Sur,^KS11,,,,False
Taiwan,^TWII,45857.66,44892.13,37148.45,True
Indonesia,^JKSE,6667.89,6207.99,7374.9,False
Singapur,^STI,5747.71,5559.83,5038.13,True
Turquia,XU100.IS,13932.5,14104.32,13328.3,False
Argentina,^MERV,3049121.5,3135926.13,3000590.77,False
