country,ticker,last_close,sma50,sma200,above_both
USA,^GSPC,7673.52,7598.1,7147.05,True
Eurozona,^STOXX50E,6403.99,6382.03,6016.38,True
Reino_Unido,^FTSE,10822.1,10725.87,10360.32,True
Alemania,^GDAXI,26006.53,25722.91,24680.45,True
Francia,^FCHI,8306.15,8452.6,8237.43,False
Espana,^IBEX,,,,False
Suiza,^SSMI,14279.38,14371.81,13523.86,False
Japon,^N225,66399.84,66514.94,59058.85,False
China_onshore,000001.SS,,,,False
China_HK,^HSI,25413.12,25060.27,25654.01,False
India,^BSESN,76132.81,77431.66,79317.89,False
Brasil,^BVSP,187366.84,174469.4,175511.84,True
Mexico,^MXX,65065.56,66034.16,67152.73,False
Canada,^GSPTSE,36123.05,35849.21,33812.21,True
Australia,^AXJO,9010.9,8978.93,8811.88,True
Corea_Sur,^KS11,6995.39,6912.32,6077.04,True
Taiwan,^TWII,47326.27,44953.14,37340.23,True
Indonesia,^JKSE,6619.67,6235.45,7359.43,False
Singapur,^STI,5792.28,5583.5,5050.86,True
Turquia,XU100.IS,14151.6,14096.92,13362.8,True
Argentina,^MERV,3075981.75,3133748.17,3001592.94,False
