country,ticker,last_close,sma50,sma200,above_both
USA,^GSPC,7619.98,7610.07,7167.13,True
Eurozona,^STOXX50E,6325.13,6380.73,6031.54,False
Reino_Unido,^FTSE,10650.4,10738.44,10382.97,False
Alemania,^GDAXI,25568.56,25745.26,24727.64,False
Francia,^FCHI,8179.77,8433.54,8240.38,False
Espana,^IBEX,,,,False
Suiza,^SSMI,13775.27,14337.66,13549.98,False
Japon,^N225,64011.34,66121.5,59342.1,False
China_onshore,000001.SS,,,,False
China_HK,^HSI,24805.63,25221.06,25625.97,False
India,^BSESN,74781.76,77258.84,79115.81,False
Brasil,^BVSP,185500.88,175586.18,176126.54,True
Mexico,^MXX,64216.98,65798.51,67183.76,False
Canada,^GSPTSE,35702.53,35912.92,33918.42,False
Australia,^AXJO,8741.2,8985.37,8818.42,False
Corea_Sur,^KS11,6909.91,6799.6,6135.67,True
Taiwan,^TWII,46184.85,45003.65,37722.14,True
Indonesia,^JKSE,6541.38,6304.26,7326.91,False
Singapur,^STI,5695.93,5625.99,5075.36,True
Turquia,XU100.IS,14467.3,14110.15,13433.99,True
Argentina,^MERV,3084547.25,3130291.31,3004912.14,False
