country,ticker,last_close,sma50,sma200,above_both
USA,^GSPC,7636.36,7602.02,7152.02,True
Eurozona,^STOXX50E,6413.17,6383.73,6020.24,True
Reino_Unido,^FTSE,10811.7,10732.42,10366.74,True
Alemania,^GDAXI,26007.63,25743.15,24694.09,True
Francia,^FCHI,8317.98,8450.88,8239.22,False
Espana,^IBEX,,,,False
Suiza,^SSMI,14057.61,14369.09,13531.16,False
Japon,^N225,65269.33,66433.11,59129.88,False
China_onshore,000001.SS,,,,False
China_HK,^HSI,25317.18,25106.08,25645.23,False
India,^BSESN,75577.58,77413.64,79271.02,False
Brasil,^BVSP,185629.05,174741.5,175655.02,True
Mexico,^MXX,64814.97,65985.5,67167.42,False
Canada,^GSPTSE,35906.56,35867.74,33842.21,True
Australia,^AXJO,8920.8,8981.77,8814.41,False
Corea_Sur,^KS11,6954.52,6883.19,6090.96,True
Taiwan,^TWII,47105.78,44995.26,37436.84,True
Indonesia,^JKSE,6686.44,6251.26,7352.05,False
Singapur,^STI,5767.45,5594.67,5057.17,True
Turquia,XU100.IS,14405.3,14101.37,13381.19,True
Argentina,^MERV,3110163.5,3132416.43,3002220.72,False
