country,ticker,last_close,sma50,sma200,above_both
USA,^GSPC,7764.7,7621.02,7187.73,True
Eurozona,^STOXX50E,6236.2,6377.64,6048.52,False
Reino_Unido,^FTSE,10659.1,10749.66,10408.02,False
Alemania,^GDAXI,25304.06,25765.97,24771.5,False
Francia,^FCHI,8065.02,8408.87,8240.86,False
Espana,^IBEX,,,,False
Suiza,^SSMI,13786.72,14297.72,13577.87,False
Japon,^N225,65018.95,65656.79,59720.62,False
China_onshore,000001.SS,,,,False
China_HK,^HSI,24750.78,25303.77,25601.75,False
India,^BSESN,74294.96,77003.61,78898.91,False
Brasil,^BVSP,186595.59,176868.91,176840.34,True
Mexico,^MXX,63536.96,65566.62,67186.91,False
Canada,^GSPTSE,36009.4,35970.83,34032.58,True
Australia,^AXJO,8777.5,8976.63,8822.26,False
Corea_Sur,^KS11,7168.9,6696.11,6222.45,True
Taiwan,^TWII,47180.75,45019.38,38202.38,True
Indonesia,^JKSE,6441.16,6363.06,7279.2,False
Singapur,^STI,5656.11,5659.17,5104.16,False
Turquia,XU100.IS,13284.4,14038.35,13501.69,False
Argentina,^MERV,2998955.75,3110700.73,3009465.88,False
