country,ticker,last_close,sma50,sma200,above_both
USA,^GSPC,7666.6,7569.77,7126.59,True
Eurozona,^STOXX50E,6368.98,6364.8,5999.31,True
Reino_Unido,^FTSE,10789.3,10691.88,10331.2,True
Alemania,^GDAXI,25970.11,25592.14,24617.38,True
Francia,^FCHI,8301.85,8459.74,8229.69,False
Espana,^IBEX,,,,False
Suiza,^SSMI,14334.79,14348.3,13481.33,False
Japon,^N225,66215.34,67086.28,58692.65,False
China_onshore,000001.SS,,,,False
China_HK,^HSI,25329.73,24842.11,25683.12,False
India,^BSESN,76944.28,77461.24,79509.28,False
Brasil,^BVSP,185205.09,173582.0,174996.42,True
Mexico,^MXX,64884.28,66233.1,67077.8,False
Canada,^GSPTSE,36091.61,35723.05,33686.68,True
Australia,^AXJO,9066.7,8955.41,8800.05,True
Corea_Sur,^KS11,6835.8,7115.49,6010.53,False
Taiwan,^TWII,46948.72,44942.77,36875.35,True
Indonesia,^JKSE,6599.94,6180.26,7398.4,False
Singapur,^STI,5710.37,5528.51,5020.62,True
Turquia,XU100.IS,14229.0,14123.84,13274.41,True
Argentina,^MERV,3106215.75,3146921.0,2999589.27,False
