country,ticker,last_close,sma50,sma200,above_both
USA,^GSPC,7747.71,7584.49,7136.53,True
Eurozona,^STOXX50E,6362.15,6372.85,6006.6,False
Reino_Unido,^FTSE,10756.5,10706.16,10341.58,True
Alemania,^GDAXI,25839.33,25647.64,24639.84,True
Francia,^FCHI,8280.63,8458.85,8232.66,False
Espana,^IBEX,,,,False
Suiza,^SSMI,14362.97,14362.98,13499.36,False
Japon,^N225,64325.64,66828.83,58840.83,False
China_onshore,000001.SS,,,,False
China_HK,^HSI,25311.21,24917.94,25673.96,False
India,^BSESN,76570.35,77472.04,79441.42,False
Brasil,^BVSP,185188.12,173949.12,175223.78,True
Mexico,^MXX,65436.16,66177.63,67108.11,False
Canada,^GSPTSE,36633.12,35788.2,33750.61,True
Australia,^AXJO,8978.4,8964.92,8804.05,True
Corea_Sur,^KS11,6562.72,7019.18,6037.38,False
Taiwan,^TWII,46164.72,44895.85,37058.66,True
Indonesia,^JKSE,6595.78,6196.66,7382.03,False
Singapur,^STI,5744.11,5549.19,5032.12,True
Turquia,XU100.IS,14050.6,14112.29,13311.78,False
Argentina,^MERV,3058093.0,3137153.5,2999668.4,False
