country,ticker,last_close,sma50,sma200,above_both
USA,^GSPC,7706.03,7624.84,7192.01,True
Eurozona,^STOXX50E,6318.2,6378.59,6051.77,False
Reino_Unido,^FTSE,10739.0,10754.5,10413.25,False
Alemania,^GDAXI,25575.01,25775.19,24780.9,False
Francia,^FCHI,8138.94,8404.35,8240.98,False
Espana,^IBEX,,,,False
Suiza,^SSMI,13956.58,14291.53,13583.49,False
Japon,^N225,65018.95,65656.79,59720.62,False
China_onshore,000001.SS,,,,False
China_HK,^HSI,25042.71,25320.35,25597.32,False
India,^BSESN,74858.99,76949.41,78844.6,False
Brasil,^BVSP,185814.09,177070.42,176976.36,True
Mexico,^MXX,64276.72,65532.7,67190.31,False
Canada,^GSPTSE,35751.43,35979.75,34055.54,False
Australia,^AXJO,8731.9,8975.72,8822.04,False
Corea_Sur,^KS11,,,,False
Taiwan,^TWII,47718.84,45066.14,38308.45,True
Indonesia,^JKSE,6384.73,6372.5,7269.27,False
Singapur,^STI,5675.23,5663.29,5109.85,True
Turquia,XU100.IS,13337.7,14018.68,13512.8,False
Argentina,^MERV,2969545.5,3105385.75,3009385.45,False
