country,ticker,last_close,sma50,sma200,above_both
USA,^GSPC,7718.6,7591.71,7141.76,True
Eurozona,^STOXX50E,6392.93,6378.58,6012.83,True
Reino_Unido,^FTSE,10831.1,10719.59,10353.75,True
Alemania,^GDAXI,26046.4,25695.32,24666.23,True
Francia,^FCHI,8278.77,8453.82,8235.81,False
Espana,^IBEX,,,,False
Suiza,^SSMI,14395.94,14370.7,13515.64,True
Japon,^N225,65020.94,66634.27,58981.07,False
China_onshore,000001.SS,,,,False
China_HK,^HSI,25650.87,25005.44,25661.55,False
India,^BSESN,76515.43,77443.58,79360.04,False
Brasil,^BVSP,185147.0,174186.16,175363.7,True
Mexico,^MXX,64727.54,66072.18,67135.76,False
Canada,^GSPTSE,36513.8,35823.75,33782.99,True
Australia,^AXJO,9005.9,8975.18,8809.59,True
Corea_Sur,^KS11,6687.21,6951.02,6062.82,False
Taiwan,^TWII,46551.13,44898.05,37242.95,True
Indonesia,^JKSE,6636.48,6223.04,7367.25,False
Singapur,^STI,5801.96,5571.49,5044.42,True
Turquia,XU100.IS,14012.4,14099.37,13345.54,False
Argentina,^MERV,3034598.75,3134696.75,3001004.32,False
