country,ticker,last_close,sma50,sma200,above_both
USA,^GSPC,7650.5,7617.24,7183.05,True
Eurozona,^STOXX50E,6322.9,6378.32,6045.6,False
Reino_Unido,^FTSE,10816.1,10745.93,10403.23,True
Alemania,^GDAXI,25716.71,25761.23,24763.53,False
Francia,^FCHI,8186.93,8414.34,8241.15,False
Espana,^IBEX,,,,False
Suiza,^SSMI,13947.31,14306.68,13573.1,False
Japon,^N225,64136.25,65692.79,59638.82,False
China_onshore,000001.SS,,,,False
China_HK,^HSI,24604.29,25292.26,25607.47,False
India,^BSESN,74314.59,77052.55,78955.48,False
Brasil,^BVSP,185229.17,176694.32,176702.73,True
Mexico,^MXX,63375.93,65625.81,67188.33,False
Canada,^GSPTSE,35806.65,35954.65,34007.78,False
Australia,^AXJO,8732.4,8978.75,8820.79,False
Corea_Sur,^KS11,,,,False
Taiwan,^TWII,46288.0,44982.86,38098.65,True
Indonesia,^JKSE,6462.43,6351.7,7288.94,False
Singapur,^STI,5660.52,5654.72,5098.52,True
Turquia,XU100.IS,13509.8,14054.77,13489.76,False
Argentina,^MERV,3021926.0,3116326.1,3008799.9,False
