country,ticker,last_close,sma50,sma200,above_both
USA,^GSPC,7704.13,7628.05,7196.25,True
Eurozona,^STOXX50E,6299.82,6378.98,6054.93,False
Reino_Unido,^FTSE,10705.3,10758.64,10418.22,False
Alemania,^GDAXI,25410.63,25780.46,24788.54,False
Francia,^FCHI,8123.41,8399.48,8241.06,False
Espana,^IBEX,,,,False
Suiza,^SSMI,13921.72,14285.12,13588.84,False
Japon,^N225,65018.95,65656.79,59720.62,False
China_onshore,000001.SS,,,,False
China_HK,^HSI,24834.12,25330.22,25591.76,False
India,^BSESN,74828.25,76893.64,78790.21,False
Brasil,^BVSP,183965.91,177216.92,177090.73,True
Mexico,^MXX,64264.16,65487.69,67193.05,False
Canada,^GSPTSE,35706.46,35988.82,34076.68,False
Australia,^AXJO,8765.3,8974.86,8822.69,False
Corea_Sur,^KS11,7080.92,6684.99,6237.11,True
Taiwan,^TWII,48157.29,45134.53,38414.67,True
Indonesia,^JKSE,6374.91,6381.51,7259.29,False
Singapur,^STI,5709.91,5668.08,5115.63,True
Turquia,XU100.IS,13251.9,14001.87,13523.44,False
Argentina,^MERV,2939964.25,3099598.56,3008985.18,False
