country,ticker,last_close,sma50,sma200,above_both
USA,^GSPC,7591.7,7603.86,7157.28,False
Eurozona,^STOXX50E,6311.56,6384.31,6024.13,False
Reino_Unido,^FTSE,10670.1,10735.88,10372.4,False
Alemania,^GDAXI,25576.45,25753.87,24706.51,False
Francia,^FCHI,8156.67,8447.27,8239.87,False
Espana,^IBEX,,,,False
Suiza,^SSMI,13804.7,14362.9,13537.77,False
Japon,^N225,65142.78,66346.6,59199.19,False
China_onshore,000001.SS,,,,False
China_HK,^HSI,25274.96,25153.95,25638.74,False
India,^BSESN,74764.23,77370.47,79221.48,False
Brasil,^BVSP,188268.59,175073.09,175813.75,True
Mexico,^MXX,64106.82,65926.22,67175.34,False
Canada,^GSPTSE,35506.28,35881.39,33868.94,False
Australia,^AXJO,8911.4,8985.54,8816.34,False
Corea_Sur,^KS11,7051.64,6856.33,6106.16,True
Taiwan,^TWII,47183.36,45016.4,37533.02,True
Indonesia,^JKSE,6678.2,6268.41,7344.06,False
Singapur,^STI,5729.63,5605.85,5063.26,True
Turquia,XU100.IS,14505.5,14109.04,13399.2,True
Argentina,^MERV,3157852.25,3132201.33,3003593.32,True
