country,ticker,last_close,sma50,sma200,above_both
USA,^GSPC,7551.81,7612.0,7174.92,False
Eurozona,^STOXX50E,6236.5,6376.31,6038.8,False
Reino_Unido,^FTSE,10658.1,10738.94,10392.82,False
Alemania,^GDAXI,25402.28,25736.46,24744.39,False
Francia,^FCHI,8090.28,8419.38,8240.32,False
Espana,^IBEX,,,,False
Suiza,^SSMI,13808.87,14318.16,13561.99,False
Japon,^N225,63484.1,65891.5,59490.78,False
China_onshore,000001.SS,,,,False
China_HK,^HSI,24667.24,25270.49,25615.56,False
India,^BSESN,74003.82,77173.22,79059.66,False
Brasil,^BVSP,185547.66,176137.81,176430.85,True
Mexico,^MXX,63507.11,65735.16,67187.82,False
Canada,^GSPTSE,35491.27,35925.2,33961.8,False
Australia,^AXJO,8672.5,8981.12,8819.37,False
Corea_Sur,^KS11,6627.26,6751.11,6162.55,False
Taiwan,^TWII,45511.49,44964.39,37907.99,True
Indonesia,^JKSE,6461.15,6331.77,7308.23,False
Singapur,^STI,5638.64,5643.04,5087.2,False
Turquia,XU100.IS,13892.3,14095.87,13465.9,False
Argentina,^MERV,3028870.75,3123187.1,3006443.45,False
